epoch_ms,setpt,requester,fan0,fan0_raw,fan0_pwm,fan0_pwm_raw,die0,die0_raw,failsafe
1786441672054,3000,Minimum,3421,3421,nan,nan,25,25,0
1786441672154,3000,Minimum,3491,3491,0.3,-1,25,25,0
1786441672254,3000,Minimum,3556,3556,0.3,-1,25,25,0
1786441672354,3000,Minimum,3617,3617,0.3,-1,25,25,0
1786441672454,3000,Minimum,3674,3674,0.3,-1,25,25,0
1786441672554,3000,Minimum,3727,3727,0.3,-1,25,25,0
1786441672654,3000,Minimum,3777,3777,0.3,-1,25,25,0
1786441672754,3000,Minimum,3823,3823,0.3,-1,25,25,0
1786441672854,3000,Minimum,3866,3866,0.3,-1,25,25,0
1786441672954,3000,Minimum,3906,3906,0.3,-1,25,25,0
1786441673054,3000,Minimum,3944,3944,0.3,-1,25,25,0
1786441673154,3000,Minimum,3979,3979,0.3,-1,24.9375,24.9375,0
1786441673254,3000,Minimum,4012,4012,0.3,-1,24.9375,24.9375,0
1786441673354,3000,Minimum,4042,4042,0.3,-1,24.9375,24.9375,0
1786441673454,3000,Minimum,4071,4071,0.3,-1,24.9375,24.9375,0
1786441673554,3000,Minimum,4098,4098,0.3,-1,24.9375,24.9375,0
1786441673654,3000,Minimum,4122,4122,0.3,-1,24.9375,24.9375,0
1786441673754,3000,Minimum,4146,4146,0.3,-1,24.9375,24.9375,0
1786441673854,3000,Minimum,4167,4167,0.3,-1,24.9375,24.9375,0
1786441673954,3000,Minimum,4188,4188,0.3,-1,24.9375,24.9375,0
1786441674054,3000,Minimum,4206,4206,0.3,-1,24.9375,24.9375,0
1786441674154,3000,Minimum,4224,4224,0.3,-1,25.25,25.25,0
1786441674254,3000,Minimum,4240,4240,0.3,-1,25.25,25.25,0
1786441674354,3000,Minimum,4256,4256,0.3,-1,25.25,25.25,0
1786441674454,3000,Minimum,4270,4270,0.3,-1,25.25,25.25,0
1786441674554,3000,Minimum,4283,4283,0.3,-1,25.25,25.25,0
1786441674654,3000,Minimum,4296,4296,0.3,-1,25.25,25.25,0
1786441674754,3000,Minimum,4308,4308,0.3,-1,25.25,25.25,0
1786441674854,3000,Minimum,4318,4318,0.3,-1,25.25,25.25,0
1786441674954,3000,Minimum,4329,4329,0.3,-1,25.25,25.25,0
1786441675054,3000,Minimum,4338,4338,0.3,-1,25.25,25.25,0
1786441675154,3000,Minimum,4347,4347,0.3,-1,25.6875,25.6875,0
1786441675254,3000,Minimum,4355,4355,0.3,-1,25.6875,25.6875,0
1786441675354,3000,Minimum,4363,4363,0.3,-1,25.6875,25.6875,0
1786441675454,3000,Minimum,4370,4370,0.3,-1,25.6875,25.6875,0
1786441675554,3000,Minimum,4377,4377,0.3,-1,25.6875,25.6875,0
1786441675654,3000,Minimum,4383,4383,0.3,-1,25.6875,25.6875,0
1786441675754,3000,Minimum,4389,4389,0.3,-1,25.6875,25.6875,0
1786441675854,3000,Minimum,4394,4394,0.3,-1,25.6875,25.6875,0
1786441675954,3000,Minimum,4399,4399,0.3,-1,25.6875,25.6875,0
1786441676054,3000,Minimum,4404,4404,0.3,-1,25.6875,25.6875,0
1786441676154,3000,Minimum,4409,4409,0.3,-1,26.0625,26.0625,0
1786441676254,3000,Minimum,4413,4413,0.3,-1,26.0625,26.0625,0
1786441676354,3000,Minimum,4417,4417,0.3,-1,26.0625,26.0625,0
1786441676454,3000,Minimum,4420,4420,0.3,-1,26.0625,26.0625,0
1786441676554,3000,Minimum,4424,4424,0.3,-1,26.0625,26.0625,0
1786441676654,3000,Minimum,4427,4427,0.3,-1,26.0625,26.0625,0
1786441676754,3000,Minimum,4430,4430,0.3,-1,26.0625,26.0625,0
