t_s,pwm,power_w,t_sense_c,t_die_c,rpm
9.500,29.8039,150.0000,28.5625,32.8683,4464.65
9.600,29.8039,150.0000,28.6250,32.9384,4465.04
9.700,29.8039,150.0000,28.7500,33.0084,4465.41
9.800,29.8039,150.0000,28.8125,33.0782,4465.76
9.900,29.8039,150.0000,28.8750,33.1478,4466.08
10.000,29.8039,150.0000,28.9375,33.2173,4466.38
10.100,29.8039,150.0000,28.9375,33.2866,4466.66
10.200,29.8039,150.0000,29.1250,33.3557,4466.92
10.300,29.8039,150.0000,29.1875,33.4248,4467.17
10.400,29.8039,150.0000,29.1250,33.4936,4467.40
10.500,29.8039,150.0000,29.3125,33.5623,4467.61
10.600,29.8039,150.0000,29.3750,33.6308,4467.81
10.700,29.8039,150.0000,29.4375,33.6992,4467.99
10.800,29.8039,150.0000,29.4375,33.7675,4468.17
10.900,29.8039,150.0000,29.6250,33.8356,4468.33
11.000,29.8039,150.0000,29.6250,33.9035,4468.48
11.100,29.8039,150.0000,29.7500,33.9713,4468.62
11.200,29.8039,150.0000,29.8750,34.0389,4468.75
11.300,29.8039,150.0000,29.9375,34.1064,4468.87
11.400,29.8039,150.0000,30.0000,34.1737,4468.99
11.500,29.8039,150.0000,30.0000,34.2409,4469.09
11.600,29.8039,150.0000,30.1875,34.3079,4469.19
11.700,29.8039,150.0000,30.1875,34.3748,4469.29
11.800,29.8039,150.0000,30.2500,34.4415,4469.37
11.900,29.8039,150.0000,30.3125,34.5081,4469.45
12.000,29.8039,150.0000,30.4375,34.5746,4469.53
12.100,29.8039,150.0000,30.5000,34.6408,4469.60
12.200,29.8039,150.0000,30.5000,34.7070,4469.67
12.300,29.8039,150.0000,30.6250,34.7730,4469.73
12.400,29.8039,150.0000,30.8125,34.8388,4469.78
12.500,29.8039,150.0000,30.6875,34.9045,4469.84
12.600,29.8039,150.0000,30.8125,34.9701,4469.89
12.700,29.8039,150.0000,30.9375,35.0355,4469.93
12.800,29.8039,150.0000,31.0000,35.1007,4469.98
12.900,29.8039,150.0000,31.0625,35.1658,4470.02
13.000,29.8039,150.0000,31.1875,35.2308,4470.06
13.100,29.8039,150.0000,31.1875,35.2956,4470.09
13.200,29.8039,150.0000,31.2500,35.3603,4470.13
13.300,29.8039,150.0000,31.3750,35.4249,4470.16
13.400,29.8039,150.0000,31.3750,35.4893,4470.19
13.500,29.8039,150.0000,31.5000,35.5535,4470.21
13.600,29.8039,150.0000,31.5625,35.6176,4470.24
13.700,29.8039,150.0000,31.6875,35.6816,4470.26
13.800,29.8039,150.0000,31.7500,35.7454,4470.28
13.900,29.8039,150.0000,31.8125,35.8091,4470.30
14.000,29.8039,150.0000,31.8125,35.8726,4470.32
14.100,29.8039,150.0000,31.9375,35.9360,4470.34
14.200,29.8039,150.0000,32.0000,35.9993,4470.36
14.300,29.8039,150.0000,32.1250,36.0624,4470.37
14.400,29.8039,150.0000,32.1250,36.1254,4470.39
14.500,29.8039,150.0000,32.1875,36.1882,4470.40
14.600,29.8039,150.0000,32.1875,36.2509,4470.41
14.700,29.8039,150.0000,32.3750,36.3135,4470.42
14.800,29.8039,150.0000,32.4375,36.3759,4470.43
14.900,29.8039,150.0000,32.4375,36.4382,4470.45
15.000,29.8039,150.0000,32.6250,36.5003,4470.45
15.100,29.8039,150.0000,32.6250,36.5623,4470.46
15.200,29.8039,150.0000,32.7500,36.6242,4470.47
15.300,29.8039,150.0000,32.7500,36.6859,4470.48
15.400,29.8039,150.0000,32.8750,36.7475,4470.49
15.500,29.8039,150.0000,32.8750,36.8089,4470.49
15.600,29.8039,150.0000,32.9375,36.8702,4470.50
15.700,29.8039,150.0000,33.1250,36.9314,4470.51
15.800,29.8039,150.0000,33.1250,36.9925,4470.51
15.900,29.8039,150.0000,33.0625,37.0534,4470.52
16.000,29.8039,150.0000,33.3125,37.1141,4470.52
