epoch_ms,setpt,requester,fan0,fan0_raw,fan0_pwm,fan0_pwm_raw,die0,die0_raw,failsafe
1786442002216,3000,Minimum,3421,3421,nan,nan,25.0625,25.0625,0
1786442002317,3000,Minimum,3491,3491,0.3,-1,25.0625,25.0625,0
1786442002416,3000,Minimum,3556,3556,0.3,-1,25.0625,25.0625,0
1786442002516,3000,Minimum,3617,3617,0.3,-1,25.0625,25.0625,0
1786442002616,3000,Minimum,3674,3674,0.3,-1,25.0625,25.0625,0
1786442002716,3000,Minimum,3727,3727,0.3,-1,25.0625,25.0625,0
1786442002816,3000,Minimum,3777,3777,0.3,-1,25.0625,25.0625,0
1786442002916,3000,Minimum,3823,3823,0.3,-1,25.0625,25.0625,0
1786442003017,3000,Minimum,3866,3866,0.3,-1,25.0625,25.0625,0
1786442003116,3000,Minimum,3906,3906,0.3,-1,25.0625,25.0625,0
1786442003216,3000,Minimum,3944,3944,0.3,-1,25.0625,25.0625,0
1786442003316,3000,Minimum,3979,3979,0.3,-1,25.0625,25.0625,0
1786442003416,3000,Minimum,4012,4012,0.3,-1,25.0625,25.0625,0
1786442003516,3000,Minimum,4042,4042,0.3,-1,25.0625,25.0625,0
1786442003616,3000,Minimum,4071,4071,0.3,-1,25.0625,25.0625,0
1786442003716,3000,Minimum,4098,4098,0.3,-1,25.0625,25.0625,0
1786442003816,3000,Minimum,4122,4122,0.3,-1,25.0625,25.0625,0
1786442003916,3000,Minimum,4146,4146,0.3,-1,25.0625,25.0625,0
1786442004016,3000,Minimum,4167,4167,0.3,-1,25.0625,25.0625,0
1786442004116,3000,Minimum,4188,4188,0.3,-1,25.0625,25.0625,0
1786442004216,3000,Minimum,4206,4206,0.3,-1,25.0625,25.0625,0
1786442004317,3000,Minimum,4224,4224,0.3,-1,25.1875,25.1875,0
1786442004416,3000,Minimum,4240,4240,0.3,-1,25.1875,25.1875,0
1786442004516,3000,Minimum,4256,4256,0.3,-1,25.1875,25.1875,0
1786442004616,3000,Minimum,4270,4270,0.3,-1,25.1875,25.1875,0
1786442004716,3000,Minimum,4283,4283,0.3,-1,25.1875,25.1875,0
1786442004816,3000,Minimum,4296,4296,0.3,-1,25.1875,25.1875,0
1786442004916,3000,Minimum,4308,4308,0.3,-1,25.1875,25.1875,0
1786442005016,3000,Minimum,4318,4318,0.3,-1,25.1875,25.1875,0
1786442005116,3000,Minimum,4329,4329,0.3,-1,25.1875,25.1875,0
1786442005216,3000,Minimum,4338,4338,0.3,-1,25.1875,25.1875,0
1786442005316,3000,Minimum,4347,4347,0.3,-1,25.625,25.625,0
1786442005416,3000,Minimum,4355,4355,0.3,-1,25.625,25.625,0
1786442005516,3000,Minimum,4363,4363,0.3,-1,25.625,25.625,0
1786442005616,3000,Minimum,4370,4370,0.3,-1,25.625,25.625,0
1786442005716,3000,Minimum,4377,4377,0.3,-1,25.625,25.625,0
1786442005816,3000,Minimum,4383,4383,0.3,-1,25.625,25.625,0
1786442005916,3000,Minimum,4389,4389,0.3,-1,25.625,25.625,0
1786442006016,3000,Minimum,4394,4394,0.3,-1,25.625,25.625,0
1786442006117,3000,Minimum,4399,4399,0.3,-1,25.625,25.625,0
1786442006216,3000,Minimum,4404,4404,0.3,-1,25.625,25.625,0
1786442006316,3000,Minimum,4409,4409,0.3,-1,26.1875,26.1875,0
1786442006416,3000,Minimum,4413,4413,0.3,-1,26.1875,26.1875,0
1786442006516,3000,Minimum,4417,4417,0.3,-1,26.1875,26.1875,0
1786442006616,3000,Minimum,4420,4420,0.3,-1,26.1875,26.1875,0
1786442006716,3000,Minimum,4424,4424,0.3,-1,26.1875,26.1875,0
1786442006816,3000,Minimum,4427,4427,0.3,-1,26.1875,26.1875,0
1786442006916,3000,Minimum,4430,4430,0.3,-1,26.1875,26.1875,0
1786442007016,3000,Minimum,4432,4432,0.3,-1,26.1875,26.1875,0
1786442007116,3000,Minimum,4435,4435,0.3,-1,26.1875,26.1875,0
1786442007216,3000,Minimum,4437,4437,0.3,-1,26.1875,26.1875,0
1786442007316,3000,Minimum,4439,4439,0.3,-1,26.6875,26.6875,0
1786442007416,3000,Minimum,4442,4442,0.3,-1,26.6875,26.6875,0
1786442007516,3000,Minimum,4443,4443,0.3,-1,26.6875,26.6875,0
1786442007616,3000,Minimum,4445,4445,0.3,-1,26.6875,26.6875,0
1786442007716,3000,Minimum,4447,4447,0.3,-1,26.6875,26.6875,0
1786442007816,3000,Minimum,4449,4449,0.3,-1,26.6875,26.6875,0
1786442007916,3000,Minimum,4450,4450,0.3,-1,26.6875,26.6875,0
1786442008016,3000,Minimum,4451,4451,0.3,-1,26.6875,26.6875,0
1786442008117,3000,Minimum,4453,4453,0.3,-1,26.6875,26.6875,0
1786442008216,3000,Minimum,4454,4454,0.3,-1,26.6875,26.6875,0
1786442008316,3000,Minimum,4455,4455,0.3,-1,27.5625,27.5625,0
1786442008416,3000,Minimum,4456,4456,0.3,-1,27.5625,27.5625,0
1786442008516,3000,Minimum,4457,4457,0.3,-1,27.5625,27.5625,0
1786442008616,3000,Minimum,4458,4458,0.3,-1,27.5625,27.5625,0
1786442008716,3000,Minimum,4459,4459,0.3,-1,27.5625,27.5625,0
1786442008816,3000,Minimum,4460,4460,0.3,-1,27.5625,27.5625,0
1786442008916,3000,Minimum,4460,4460,0.3,-1,27.5625,27.5625,0
1786442009016,3000,Minimum,4461,4461,0.3,-1,27.5625,27.5625,0
