epoch_ms,setpt,requester,fan0,fan0_raw,fan0_pwm,fan0_pwm_raw,die0,die0_raw,failsafe
1786440681038,3000,Minimum,3346,3346,nan,nan,25,25,0
1786440681142,3000,Minimum,3421,3421,0.3,-1,25,25,0
1786440681238,3000,Minimum,3491,3491,0.3,-1,25,25,0
1786440681341,3000,Minimum,3556,3556,0.3,-1,25,25,0
1786440681438,3000,Minimum,3617,3617,0.3,-1,25,25,0
1786440681538,3000,Minimum,3674,3674,0.3,-1,25,25,0
1786440681638,3000,Minimum,3727,3727,0.3,-1,25,25,0
1786440681742,3000,Minimum,3777,3777,0.3,-1,25,25,0
1786440681838,3000,Minimum,3823,3823,0.3,-1,25,25,0
1786440681938,3000,Minimum,3866,3866,0.3,-1,25,25,0
1786440682038,3000,Minimum,3906,3906,0.3,-1,25,25,0
1786440682138,3000,Minimum,3944,3944,0.3,-1,25.0625,25.0625,0
1786440682238,3000,Minimum,3979,3979,0.3,-1,25.0625,25.0625,0
1786440682338,3000,Minimum,4012,4012,0.3,-1,25.0625,25.0625,0
1786440682442,3000,Minimum,4042,4042,0.3,-1,25.0625,25.0625,0
1786440682538,3000,Minimum,4071,4071,0.3,-1,25.0625,25.0625,0
1786440682638,3000,Minimum,4098,4098,0.3,-1,25.0625,25.0625,0
1786440682742,3000,Minimum,4122,4122,0.3,-1,25.0625,25.0625,0
1786440682838,3000,Minimum,4146,4146,0.3,-1,25.0625,25.0625,0
1786440682938,3000,Minimum,4167,4167,0.3,-1,25.0625,25.0625,0
1786440683038,3000,Minimum,4188,4188,0.3,-1,25.0625,25.0625,0
1786440683138,3000,Minimum,4206,4206,0.3,-1,25.125,25.125,0
1786440683238,3000,Minimum,4224,4224,0.3,-1,25.125,25.125,0
1786440683338,3000,Minimum,4240,4240,0.3,-1,25.125,25.125,0
1786440683438,3000,Minimum,4256,4256,0.3,-1,25.125,25.125,0
1786440683538,3000,Minimum,4270,4270,0.3,-1,25.125,25.125,0
1786440683638,3000,Minimum,4283,4283,0.3,-1,25.125,25.125,0
1786440683738,3000,Minimum,4296,4296,0.3,-1,25.125,25.125,0
1786440683838,3000,Minimum,4308,4308,0.3,-1,25.125,25.125,0
1786440683938,3000,Minimum,4318,4318,0.3,-1,25.125,25.125,0
1786440684038,3000,Minimum,4329,4329,0.3,-1,25.125,25.125,0
1786440684141,3000,Minimum,4338,4338,0.3,-1,25.5625,25.5625,0
1786440684244,3000,Minimum,4347,4347,0.3,-1,25.5625,25.5625,0
1786440684339,3000,Minimum,4355,4355,0.3,-1,25.5625,25.5625,0
1786440684438,3000,Minimum,4363,4363,0.3,-1,25.5625,25.5625,0
1786440684538,3000,Minimum,4370,4370,0.3,-1,25.5625,25.5625,0
1786440684638,3000,Minimum,4377,4377,0.3,-1,25.5625,25.5625,0
1786440684738,3000,Minimum,4383,4383,0.3,-1,25.5625,25.5625,0
1786440684838,3000,Minimum,4389,4389,0.3,-1,25.5625,25.5625,0
1786440684938,3000,Minimum,4394,4394,0.3,-1,25.5625,25.5625,0
1786440685038,3000,Minimum,4399,4399,0.3,-1,25.5625,25.5625,0
1786440685138,3000,Minimum,4404,4404,0.3,-1,26.125,26.125,0
1786440685238,3000,Minimum,4409,4409,0.3,-1,26.125,26.125,0
1786440685340,3000,Minimum,4413,4413,0.3,-1,26.125,26.125,0
1786440685438,3000,Minimum,4417,4417,0.3,-1,26.125,26.125,0
1786440685538,3000,Minimum,4420,4420,0.3,-1,26.125,26.125,0
1786440685638,3000,Minimum,4424,4424,0.3,-1,26.125,26.125,0
1786440685738,3000,Minimum,4427,4427,0.3,-1,26.125,26.125,0
1786440685838,3000,Minimum,4430,4430,0.3,-1,26.125,26.125,0
1786440685938,3000,Minimum,4432,4432,0.3,-1,26.125,26.125,0
1786440686038,3000,Minimum,4435,4435,0.3,-1,26.125,26.125,0
1786440686138,3000,Minimum,4437,4437,0.3,-1,26.75,26.75,0
1786440686239,3000,Minimum,4439,4439,0.3,-1,26.75,26.75,0
1786440686338,3000,Minimum,4442,4442,0.3,-1,26.75,26.75,0
1786440686438,3000,Minimum,4443,4443,0.3,-1,26.75,26.75,0
1786440686538,3000,Minimum,4445,4445,0.3,-1,26.75,26.75,0
1786440686638,3000,Minimum,4447,4447,0.3,-1,26.75,26.75,0
1786440686738,3000,Minimum,4449,4449,0.3,-1,26.75,26.75,0
1786440686838,3000,Minimum,4450,4450,0.3,-1,26.75,26.75,0
1786440686938,3000,Minimum,4451,4451,0.3,-1,26.75,26.75,0
1786440687038,3000,Minimum,4453,4453,0.3,-1,26.75,26.75,0
1786440687138,3000,Minimum,4454,4454,0.3,-1,27.4375,27.4375,0
1786440687238,3000,Minimum,4455,4455,0.3,-1,27.4375,27.4375,0
1786440687338,3000,Minimum,4456,4456,0.3,-1,27.4375,27.4375,0
1786440687438,3000,Minimum,4457,4457,0.3,-1,27.4375,27.4375,0
1786440687540,3000,Minimum,4458,4458,0.3,-1,27.4375,27.4375,0
1786440687638,3000,Minimum,4459,4459,0.3,-1,27.4375,27.4375,0
1786440687741,3000,Minimum,4460,4460,0.3,-1,27.4375,27.4375,0
1786440687838,3000,Minimum,4460,4460,0.3,-1,27.4375,27.4375,0
1786440687938,3000,Minimum,4461,4461,0.3,-1,27.4375,27.4375,0
1786440688038,3000,Minimum,4462,4462,0.3,-1,27.4375,27.4375,0
1786440688138,3000,Minimum,4462,4462,0.3,-1,28.125,28.125,0
1786440688238,3000,Minimum,4463,4463,0.3,-1,28.125,28.125,0
1786440688342,3000,Minimum,4463,4463,0.3,-1,28.125,28.125,0
1786440688438,3000,Minimum,4464,4464,0.3,-1,28.125,28.125,0
1786440688540,3000,Minimum,4464,4464,0.3,-1,28.125,28.125,0
1786440688638,3000,Minimum,4465,4465,0.3,-1,28.125,28.125,0
1786440688738,3000,Minimum,4465,4465,0.3,-1,28.125,28.125,0
1786440688838,3000,Minimum,4465,4465,0.3,-1,28.125,28.125,0
1786440688938,3000,Minimum,4466,4466,0.3,-1,28.125,28.125,0
1786440689038,3000,Minimum,4466,4466,0.3,-1,28.125,28.125,0
1786440689138,3000,Minimum,4466,4466,0.3,-1,28.875,28.875,0
1786440689238,3000,Minimum,4467,4467,0.3,-1,28.875,28.875,0
1786440689345,3000,Minimum,4467,4467,0.3,-1,28.875,28.875,0
1786440689438,3000,Minimum,4467,4467,0.3,-1,28.875,28.875,0
1786440689538,3000,Minimum,4467,4467,0.3,-1,28.875,28.875,0
1786440689638,3000,Minimum,4468,4468,0.3,-1,28.875,28.875,0
1786440689738,3000,Minimum,4468,4468,0.3,-1,28.875,28.875,0
1786440689840,3000,Minimum,4468,4468,0.3,-1,28.875,28.875,0
1786440689938,3000,Minimum,4468,4468,0.3,-1,28.875,28.875,0
1786440690038,3000,Minimum,4468,4468,0.3,-1,28.875,28.875,0
1786440690138,3000,Minimum,4468,4468,0.3,-1,29.5625,29.5625,0
1786440690238,3000,Minimum,4469,4469,0.3,-1,29.5625,29.5625,0
1786440690340,3000,Minimum,4469,4469,0.3,-1,29.5625,29.5625,0
1786440690438,3000,Minimum,4469,4469,0.3,-1,29.5625,29.5625,0
1786440690539,3000,Minimum,4469,4469,0.3,-1,29.5625,29.5625,0
1786440690638,3000,Minimum,4469,4469,0.3,-1,29.5625,29.5625,0
1786440690742,3000,Minimum,4469,4469,0.3,-1,29.5625,29.5625,0
1786440690838,3000,Minimum,4469,4469,0.3,-1,29.5625,29.5625,0
1786440690939,3000,Minimum,4469,4469,0.3,-1,29.5625,29.5625,0
1786440691038,3000,Minimum,4469,4469,0.3,-1,29.5625,29.5625,0
1786440691138,3000,Minimum,4470,4470,0.3,-1,30.3125,30.3125,0
1786440691238,3000,Minimum,4470,4470,0.3,-1,30.3125,30.3125,0
