t_s,pwm,power_w,t_sense_c,t_die_c,rpm,fan_power_rel
8.100,40.0000,150.0000,27.4375,31.3699,5979.05,0.063332
8.200,40.0000,150.0000,27.4375,31.4357,5980.45,0.063376
8.300,40.0000,150.0000,27.5625,31.5013,5981.75,0.063418
8.400,40.0000,150.0000,27.6875,31.5668,5982.97,0.063457
8.500,40.0000,150.0000,27.7500,31.6321,5984.10,0.063493
8.600,40.0000,150.0000,27.7500,31.6972,5985.16,0.063526
8.700,40.0000,150.0000,27.7500,31.7623,5986.15,0.063558
8.800,40.0000,150.0000,27.8750,31.8271,5987.08,0.063587
8.900,40.0000,150.0000,28.0000,31.8919,5987.94,0.063615
9.000,40.0000,150.0000,28.0625,31.9564,5988.74,0.063640
9.100,40.0000,150.0000,28.1250,32.0209,5989.49,0.063664
9.200,40.0000,150.0000,28.1875,32.0851,5990.19,0.063687
9.300,40.0000,150.0000,28.2500,32.1493,5990.85,0.063708
9.400,40.0000,150.0000,28.3125,32.2132,5991.46,0.063727
9.500,40.0000,150.0000,28.3750,32.2771,5992.03,0.063745
9.600,40.0000,150.0000,28.4375,32.3408,5992.56,0.063762
9.700,40.0000,150.0000,28.5000,32.4043,5993.05,0.063778
9.800,40.0000,150.0000,28.6250,32.4678,5993.52,0.063793
9.900,40.0000,150.0000,28.5625,32.5310,5993.95,0.063807
10.000,40.0000,150.0000,28.6250,32.5941,5994.35,0.063819
10.100,40.0000,150.0000,28.6875,32.6571,5994.73,0.063831
10.200,40.0000,150.0000,28.8125,32.7200,5995.08,0.063843
10.300,40.0000,150.0000,28.9375,32.7827,5995.41,0.063853
10.400,40.0000,150.0000,29.0000,32.8452,5995.71,0.063863
10.500,40.0000,150.0000,29.1250,32.9076,5996.00,0.063872
10.600,40.0000,150.0000,29.0625,32.9699,5996.27,0.063881
10.700,40.0000,150.0000,29.1250,33.0321,5996.52,0.063889
10.800,40.0000,150.0000,29.1875,33.0941,5996.75,0.063896
10.900,40.0000,150.0000,29.4375,33.1559,5996.96,0.063903
11.000,40.0000,150.0000,29.4375,33.2176,5997.17,0.063909
11.100,40.0000,150.0000,29.4375,33.2792,5997.36,0.063915
11.200,40.0000,150.0000,29.4375,33.3407,5997.53,0.063921
11.300,40.0000,150.0000,29.5000,33.4020,5997.70,0.063926
11.400,40.0000,150.0000,29.6875,33.4631,5997.85,0.063931
11.500,40.0000,150.0000,29.6875,33.5242,5997.99,0.063936
11.600,40.0000,150.0000,29.8125,33.5851,5998.13,0.063940
11.700,40.0000,150.0000,29.7500,33.6458,5998.25,0.063944
11.800,40.0000,150.0000,29.8125,33.7065,5998.37,0.063948
11.900,40.0000,150.0000,29.9375,33.7670,5998.48,0.063951
12.000,40.0000,150.0000,29.9375,33.8273,5998.58,0.063955
12.100,40.0000,150.0000,30.1875,33.8875,5998.67,0.063958
12.200,40.0000,150.0000,30.1250,33.9476,5998.76,0.063960
12.300,40.0000,150.0000,30.1875,34.0076,5998.84,0.063963
12.400,40.0000,150.0000,30.3750,34.0674,5998.92,0.063965
12.500,40.0000,150.0000,30.3750,34.1271,5998.99,0.063968
12.600,40.0000,150.0000,30.3750,34.1866,5999.06,0.063970
12.700,40.0000,150.0000,30.5000,34.2461,5999.12,0.063972
12.800,40.0000,150.0000,30.5625,34.3054,5999.18,0.063974
12.900,40.0000,150.0000,30.6250,34.3645,5999.24,0.063976
